Student_ID,Class,Study_Hours_Per_Day,Attendance_Percentage,Performance_Index,Risk_Level,Trend,Key_Insight,Recommendation
S1427,12,1.1,90,57.0,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1428,12,1.0,100,63.73,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1429,10,2.7,50,65.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1430,9,5.1,85,81.67,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1431,11,3.5,85,77.73,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1432,9,5.7,57,75.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1433,11,3.8,70,77.73,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1434,11,1.8,72,58.67,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1435,9,5.7,85,84.6,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1436,10,1.6,73,55.0,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1437,11,2.1,81,65.33,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1438,9,2.1,95,65.6,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1439,9,2.8,95,69.0,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1440,11,4.1,79,85.13,Low Risk,Stable,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1441,12,2.9,75,66.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1442,12,1.4,100,57.87,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1443,9,2.0,62,56.0,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1444,11,3.0,82,78.0,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1445,10,3.8,53,75.93,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1446,10,1.4,80,46.27,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and possible distraction from internet use and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Limit non-academic internet usage."
S1447,12,1.1,77,58.13,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1448,12,3.2,61,66.07,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1449,9,2.1,81,56.93,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1450,9,4.9,87,82.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1451,9,2.0,96,62.27,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1452,9,3.1,87,80.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1453,12,2.8,99,75.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1454,10,1.1,88,55.93,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1455,10,1.7,92,60.33,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1456,12,5.5,91,88.73,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1457,10,0.9,98,60.07,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1458,12,4.0,73,84.73,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1459,10,1.7,62,54.87,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1460,12,1.2,91,59.0,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S1461,12,1.7,85,64.0,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S1462,9,2.8,67,72.73,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1463,9,4.2,55,73.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1464,12,3.3,50,70.6,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1465,11,4.3,67,83.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1466,10,3.3,77,77.07,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1467,10,4.2,80,83.73,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1468,12,5.4,88,82.8,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1469,10,1.3,50,51.53,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1470,12,5.6,51,75.27,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1471,10,2.4,77,60.73,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and possible distraction from internet use.,"1. Increase daily study to minimum 4 hours.
2. Limit non-academic internet usage."
S1472,9,2.1,69,60.67,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1473,10,4.2,64,77.07,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1474,11,2.3,100,68.07,Low Risk,Stable,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1475,9,5.0,64,77.07,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1476,12,6.0,90,92.67,Low Risk,Stable,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1477,9,4.0,91,88.33,Low Risk,Declining,Strong overall performance with no immediate academic risk.,2. Do weekly performance monitoring.
S1478,12,2.9,89,77.33,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1479,9,2.1,96,67.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1480,12,4.7,80,77.73,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1481,9,4.5,64,83.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1482,12,5.4,50,78.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1483,12,1.3,55,62.0,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1484,12,2.4,87,68.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1485,11,3.7,78,86.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1486,11,2.9,74,69.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1487,12,5.2,58,81.07,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1488,9,5.0,80,88.4,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1489,10,3.1,65,74.8,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1490,12,3.3,86,67.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1491,10,1.8,68,62.13,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1492,9,1.6,63,46.87,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1493,11,2.2,62,60.67,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1494,12,2.0,89,67.4,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1495,12,5.4,59,72.6,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1496,9,1.2,95,56.47,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S1497,10,2.7,71,64.4,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1498,9,3.2,100,84.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1499,9,2.2,71,58.2,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1500,12,5.6,69,81.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1501,10,4.0,59,75.0,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1502,9,5.5,59,75.53,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1503,11,5.4,52,70.53,Low Risk,Stable,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S1504,11,5.7,76,88.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1505,10,5.8,98,85.2,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1506,12,3.6,69,85.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1507,11,1.2,60,50.53,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1508,11,5.2,53,75.8,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1509,11,4.7,90,86.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1510,10,5.1,79,84.6,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1511,9,1.5,65,59.47,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1512,11,2.4,62,64.93,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1513,9,4.1,55,79.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1514,12,3.2,72,78.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1515,10,5.4,100,80.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1516,10,5.9,71,81.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1517,10,1.3,85,60.27,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1518,10,2.9,62,66.47,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1519,9,3.2,51,65.0,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1520,9,2.5,76,67.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1521,12,5.6,92,76.0,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S1522,9,5.4,55,75.67,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1523,10,4.2,63,75.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1524,10,3.1,62,68.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1525,12,1.2,76,56.0,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1526,11,5.5,89,91.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1527,11,0.7,81,51.2,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1528,9,3.0,67,78.07,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1529,11,3.4,51,74.73,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1530,10,3.3,70,74.47,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1531,11,2.2,74,62.4,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1532,12,1.3,53,40.13,High Risk,Declining,Poor study discipline is the primary cause of high academic risk reinforced by declining performance trend and possible distraction from internet use.,"1. Increase daily study to minimum 4 hours.
2. Limit non-academic internet usage."
S1533,12,3.4,59,71.93,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1534,9,5.6,95,87.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1535,9,1.5,86,58.73,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S1536,10,1.7,100,69.13,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1537,12,1.6,65,53.13,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1538,10,2.0,71,69.0,Low Risk,Improving,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1539,11,1.9,99,62.13,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1540,12,1.7,71,60.8,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S1541,10,5.9,62,79.07,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1542,11,3.2,69,70.47,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1543,10,4.1,50,73.87,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1544,12,1.9,77,57.33,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1545,10,1.9,78,63.93,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S1546,12,3.4,58,81.07,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1547,11,0.6,72,46.67,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1548,9,3.1,59,67.73,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1549,11,2.8,76,79.87,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1550,10,5.0,61,80.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1551,11,4.3,76,82.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1552,11,5.6,63,80.07,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1553,9,5.3,82,84.4,Low Risk,Stable,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1554,9,5.1,79,75.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S1555,11,5.6,61,77.0,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1556,9,2.9,51,66.67,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1557,10,1.6,100,69.33,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1558,11,5.1,65,80.2,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1559,9,3.5,88,74.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S1560,11,1.8,78,70.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1561,12,5.2,71,78.6,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1562,10,4.8,94,79.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1563,11,4.0,66,80.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1564,9,4.1,56,75.6,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1565,12,2.1,51,58.93,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1566,10,4.1,66,77.2,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1567,10,4.1,56,73.73,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1568,10,4.6,53,79.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1569,11,2.1,93,59.87,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and possible distraction from internet use and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Limit non-academic internet usage."
S1570,9,4.5,62,82.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1571,12,4.7,62,80.4,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1572,12,2.2,64,57.2,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S1573,9,4.2,69,75.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1574,12,3.8,65,74.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1575,11,5.7,92,83.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1576,10,2.6,82,70.4,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1577,12,4.0,98,78.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S1578,12,4.8,78,86.13,Low Risk,Stable,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1579,10,4.3,70,77.87,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1580,9,1.3,93,59.07,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1581,9,3.2,96,74.27,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1582,9,2.1,78,60.47,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S1583,11,5.9,56,73.33,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1584,10,4.0,86,84.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1585,10,2.5,91,73.2,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1586,11,5.1,99,82.73,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1587,9,4.5,96,81.87,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1588,9,1.4,99,62.2,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S1589,10,1.3,85,51.6,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1590,11,5.9,99,88.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1591,10,1.5,69,60.0,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1592,10,5.1,84,90.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1593,9,5.3,97,92.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1594,11,5.7,77,81.93,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1595,11,1.3,78,45.13,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and possible distraction from internet use.,"1. Increase daily study to minimum 4 hours.
2. Limit non-academic internet usage."
S1596,9,1.6,64,49.33,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1597,12,3.2,85,69.0,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1598,10,1.6,83,64.07,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1599,12,4.5,98,89.6,Low Risk,Stable,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1600,9,5.0,83,95.4,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1601,10,2.2,57,55.0,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1602,12,3.3,90,74.07,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1603,10,1.1,90,55.8,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1604,9,3.8,74,74.0,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1605,12,4.6,65,74.33,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S1606,11,2.1,73,58.0,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1607,12,5.8,83,85.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S1608,12,2.3,67,65.87,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1609,11,0.5,69,44.27,High Risk,Stable,Poor study discipline is the primary cause of high academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S1610,10,3.4,97,79.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S1611,9,1.3,97,62.93,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S1612,12,4.2,61,87.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1613,10,1.6,87,64.87,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1614,12,3.4,54,78.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S1615,11,2.9,58,76.6,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S1616,10,1.5,56,50.47,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S1617,11,5.3,89,83.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
