Student_ID,Class,Study_Hours_Per_Day,Attendance_Percentage,Internet_Access,Extracurricular_Activities,Math_Score,Science_Score,English_Score,Previous_Year_Score,Study_Discipline_Score,Attendance_Score,Academic_Score,Performance_Index,Risk_Level,Difference,Trend
S1197,9,2.1,94,No,Yes,84,62,94,85,52.5,94,80.0,71.8,Low Risk,-13.2,Declining
S1198,10,5.4,97,Yes,Yes,38,43,99,61,100.0,97,60.0,83.4,Low Risk,22.4,Improving
S1199,10,5.7,97,Yes,No,60,75,45,58,100.0,97,60.0,83.4,Low Risk,25.4,Improving
S1200,9,3.1,73,No,No,94,82,65,64,77.5,73,80.33,77.73,Low Risk,13.73,Improving
S1201,10,5.7,94,Yes,No,89,78,93,92,100.0,94,86.67,93.47,Low Risk,1.47,Stable
S1202,11,0.7,89,Yes,No,70,51,65,72,17.5,89,62.0,49.6,Medium Risk,-22.4,Declining
S1203,11,3.3,97,Yes,Yes,60,65,61,88,82.5,97,62.0,77.2,Low Risk,-10.8,Declining
S1204,11,5.4,62,Yes,No,71,60,51,95,100.0,62,60.67,76.67,Low Risk,-18.33,Declining
S1205,9,4.8,68,No,No,67,81,73,76,100.0,68,73.67,83.07,Low Risk,7.07,Improving
S1206,11,5.7,78,Yes,No,89,99,48,72,100.0,78,78.67,87.07,Low Risk,15.07,Improving
S1207,11,4.9,58,No,Yes,36,92,45,51,100.0,58,57.67,74.67,Low Risk,23.67,Improving
S1208,10,5.7,63,No,No,35,41,52,76,100.0,63,42.67,69.67,Low Risk,-6.33,Declining
S1209,10,1.8,53,No,Yes,63,73,49,75,45.0,53,61.67,53.27,Medium Risk,-21.73,Declining
S1210,12,3.9,73,No,No,89,45,51,64,97.5,73,61.67,78.27,Low Risk,14.27,Improving
S1211,11,2.0,60,Yes,Yes,86,60,44,93,50.0,60,63.33,57.33,Medium Risk,-35.67,Declining
S1212,9,0.5,84,No,No,83,68,60,50,12.5,84,70.33,49.93,Medium Risk,-0.07,Stable
S1213,11,2.2,69,Yes,Yes,66,74,69,48,55.00000000000001,69,69.67,63.67,Medium Risk,15.67,Improving
S1214,9,2.0,66,Yes,Yes,77,45,97,90,50.0,66,73.0,62.4,Medium Risk,-27.6,Declining
S1215,10,4.3,63,No,No,64,35,73,44,100.0,63,57.33,75.53,Low Risk,31.53,Improving
S1216,11,0.6,83,No,Yes,48,86,87,58,15.0,83,73.67,52.07,Medium Risk,-5.93,Declining
S1217,9,1.8,95,No,No,89,64,37,69,45.0,95,63.33,62.33,Medium Risk,-6.67,Declining
S1218,11,5.5,75,No,Yes,90,68,37,85,100.0,75,65.0,81.0,Low Risk,-4.0,Stable
S1219,10,4.0,70,Yes,Yes,81,79,77,54,100.0,70,79.0,85.6,Low Risk,31.6,Improving
S1220,12,4.4,73,No,No,72,60,56,86,100.0,73,62.67,79.67,Low Risk,-6.33,Declining
S1221,10,6.0,72,No,Yes,43,84,88,55,100.0,72,71.67,83.07,Low Risk,28.07,Improving
S1222,10,3.4,90,No,No,45,70,95,54,85.0,90,70.0,80.0,Low Risk,26.0,Improving
S1223,10,3.6,63,No,Yes,44,89,99,95,90.0,63,77.33,79.53,Low Risk,-15.47,Declining
S1224,12,0.6,67,Yes,Yes,99,48,45,70,15.0,67,64.0,45.0,Medium Risk,-25.0,Declining
S1225,12,2.0,71,Yes,Yes,87,56,44,87,50.0,71,62.33,59.13,Medium Risk,-27.87,Declining
S1226,10,2.2,67,No,Yes,81,90,93,62,55.00000000000001,67,88.0,70.6,Low Risk,8.6,Improving
S1227,12,5.7,95,Yes,No,42,48,41,61,100.0,95,43.67,76.47,Low Risk,15.47,Improving
S1228,12,3.6,66,No,Yes,98,82,72,92,90.0,66,84.0,82.8,Low Risk,-9.2,Declining
S1229,12,5.3,55,No,Yes,80,65,43,76,100.0,55,62.67,76.07,Low Risk,0.07,Stable
S1230,9,5.5,93,Yes,Yes,71,64,66,77,100.0,93,67.0,85.4,Low Risk,8.4,Improving
S1231,9,5.3,60,No,No,94,68,77,84,100.0,60,79.67,83.87,Low Risk,-0.13,Stable
S1232,11,1.7,53,No,No,37,55,60,60,42.5,53,50.67,47.87,Medium Risk,-12.13,Declining
S1233,9,1.0,87,No,Yes,91,83,65,81,25.0,87,79.67,59.27,Medium Risk,-21.73,Declining
S1234,11,3.1,99,Yes,No,42,72,56,82,77.5,99,56.67,73.47,Low Risk,-8.53,Declining
S1235,10,3.4,92,No,Yes,41,74,87,52,85.0,92,67.33,79.33,Low Risk,27.33,Improving
S1236,12,2.6,81,Yes,Yes,73,57,81,47,65.0,81,70.33,70.33,Low Risk,23.33,Improving
S1237,11,3.2,66,No,No,72,36,47,40,80.0,66,51.67,65.87,Low Risk,25.87,Improving
S1238,12,1.1,81,No,Yes,77,88,88,59,27.500000000000004,81,84.33,60.93,Medium Risk,1.93,Stable
S1239,9,5.9,90,No,Yes,87,51,51,50,100.0,90,63.0,83.2,Low Risk,33.2,Improving
S1240,9,5.2,60,No,Yes,87,55,38,80,100.0,60,60.0,76.0,Low Risk,-4.0,Stable
S1241,12,4.9,95,No,No,75,72,53,70,100.0,95,66.67,85.67,Low Risk,15.67,Improving
S1242,12,2.4,63,No,Yes,73,76,94,92,60.0,63,81.0,69.0,Low Risk,-23.0,Declining
S1243,12,3.6,57,No,Yes,68,80,75,73,90.0,57,74.33,77.13,Low Risk,4.13,Stable
S1244,10,1.6,63,Yes,Yes,57,94,72,43,40.0,63,74.33,58.33,Medium Risk,15.33,Improving
S1245,12,0.5,78,Yes,Yes,68,44,43,69,12.5,78,51.67,41.27,High Risk,-27.73,Declining
S1246,11,0.9,95,No,Yes,72,38,79,40,22.5,95,63.0,53.2,Medium Risk,13.2,Improving
S1247,10,4.4,92,Yes,Yes,44,79,67,89,100.0,92,63.33,83.73,Low Risk,-5.27,Declining
S1248,11,2.8,65,No,No,65,99,49,70,70.0,65,71.0,69.4,Low Risk,-0.6,Stable
S1249,12,5.7,61,Yes,No,74,78,88,68,100.0,61,80.0,84.2,Low Risk,16.2,Improving
S1250,11,1.5,93,Yes,Yes,83,49,52,62,37.5,93,61.33,58.13,Medium Risk,-3.87,Stable
S1251,10,1.6,53,Yes,Yes,73,37,41,93,40.0,53,50.33,46.73,Medium Risk,-46.27,Declining
S1252,12,4.9,52,Yes,Yes,79,100,91,72,100.0,52,90.0,86.4,Low Risk,14.4,Improving
S1253,9,5.9,97,No,Yes,85,81,51,93,100.0,97,72.33,88.33,Low Risk,-4.67,Stable
S1254,10,3.8,67,Yes,Yes,69,57,90,64,95.0,67,72.0,80.2,Low Risk,16.2,Improving
S1255,9,2.2,76,No,Yes,37,57,62,63,55.00000000000001,76,52.0,58.0,Medium Risk,-5.0,Declining
S1256,10,1.2,90,Yes,Yes,60,66,83,76,30.0,90,69.67,57.87,Medium Risk,-18.13,Declining
S1257,10,1.8,79,Yes,No,68,35,75,49,45.0,79,59.33,57.53,Medium Risk,8.53,Improving
S1258,10,4.3,82,No,Yes,66,40,35,82,100.0,82,47.0,75.2,Low Risk,-6.8,Declining
S1259,12,5.1,79,Yes,No,78,77,81,51,100.0,79,78.67,87.27,Low Risk,36.27,Improving
S1260,12,4.3,98,Yes,No,58,84,75,66,100.0,98,72.33,88.53,Low Risk,22.53,Improving
S1261,10,2.6,57,No,Yes,84,57,66,63,65.0,57,69.0,65.0,Low Risk,2.0,Stable
S1262,10,3.4,61,Yes,Yes,77,74,73,42,85.0,61,74.67,76.07,Low Risk,34.07,Improving
S1263,9,3.7,85,No,No,97,41,59,72,92.5,85,65.67,80.27,Low Risk,8.27,Improving
S1264,12,3.6,83,No,No,56,52,89,66,90.0,83,65.67,78.87,Low Risk,12.87,Improving
S1265,11,4.8,73,No,No,71,40,86,75,100.0,73,65.67,80.87,Low Risk,5.87,Improving
S1266,11,4.6,97,No,No,66,69,82,75,100.0,97,72.33,88.33,Low Risk,13.33,Improving
S1267,10,1.2,60,Yes,No,88,75,51,82,30.0,60,71.33,52.53,Medium Risk,-29.47,Declining
S1268,10,2.0,83,Yes,Yes,89,86,79,56,50.0,83,84.67,70.47,Low Risk,14.47,Improving
S1269,11,2.3,91,No,Yes,47,85,72,59,57.49999999999999,91,68.0,68.4,Low Risk,9.4,Improving
S1270,12,0.9,88,No,Yes,44,80,58,88,22.5,88,60.67,50.87,Medium Risk,-37.13,Declining
S1271,10,0.9,66,No,Yes,70,95,58,53,22.5,66,74.33,51.93,Medium Risk,-1.07,Stable
S1272,10,4.4,94,No,Yes,53,42,76,68,100.0,94,57.0,81.6,Low Risk,13.6,Improving
S1273,10,3.6,64,No,No,57,81,64,95,90.0,64,67.33,75.73,Low Risk,-19.27,Declining
S1274,10,2.2,86,No,No,49,52,55,54,55.00000000000001,86,52.0,60.0,Medium Risk,6.0,Improving
S1275,9,3.8,52,No,No,69,54,87,95,95.0,52,70.0,76.4,Low Risk,-18.6,Declining
S1276,12,5.6,50,Yes,Yes,78,72,51,44,100.0,50,67.0,76.8,Low Risk,32.8,Improving
S1277,9,1.1,55,No,Yes,40,74,81,48,27.500000000000004,55,65.0,48.0,Medium Risk,0.0,Stable
S1278,11,1.8,66,No,No,92,55,53,82,45.0,66,66.67,57.87,Medium Risk,-24.13,Declining
S1279,10,1.5,79,Yes,No,37,36,44,78,37.5,79,39.0,46.4,Medium Risk,-31.6,Declining
S1280,11,5.8,68,No,No,64,40,49,69,100.0,68,51.0,74.0,Low Risk,5.0,Improving
S1281,10,5.7,78,No,Yes,76,55,71,73,100.0,78,67.33,82.53,Low Risk,9.53,Improving
S1282,11,3.9,60,No,Yes,42,79,47,45,97.5,60,56.0,73.4,Low Risk,28.4,Improving
S1283,11,2.0,58,Yes,No,46,100,82,95,50.0,58,76.0,62.0,Medium Risk,-33.0,Declining
S1284,12,5.6,92,No,Yes,62,66,37,79,100.0,92,55.0,80.4,Low Risk,1.4,Stable
S1285,11,5.7,56,Yes,No,51,44,57,70,100.0,56,50.67,71.47,Low Risk,1.47,Stable
S1286,11,5.6,70,Yes,Yes,97,62,91,92,100.0,70,83.33,87.33,Low Risk,-4.67,Stable
S1287,12,5.3,83,No,Yes,82,53,78,65,100.0,83,71.0,85.0,Low Risk,20.0,Improving
S1288,10,5.9,70,Yes,No,49,91,35,95,100.0,70,58.33,77.33,Low Risk,-17.67,Declining
S1289,11,4.0,67,Yes,Yes,98,71,78,59,100.0,67,82.33,86.33,Low Risk,27.33,Improving
S1290,9,4.5,94,Yes,No,75,54,94,69,100.0,94,74.33,88.53,Low Risk,19.53,Improving
S1291,10,2.4,91,Yes,No,44,59,86,46,60.0,91,63.0,67.4,Low Risk,21.4,Improving
S1292,9,4.5,88,Yes,Yes,73,49,57,47,100.0,88,59.67,81.47,Low Risk,34.47,Improving
S1293,9,2.4,51,No,No,90,68,50,83,60.0,51,69.33,61.93,Medium Risk,-21.07,Declining
S1294,12,0.6,72,No,Yes,79,50,99,72,15.0,72,76.0,50.8,Medium Risk,-21.2,Declining
S1295,11,1.7,72,Yes,No,35,62,38,44,42.5,72,45.0,49.4,Medium Risk,5.4,Improving
S1296,10,2.1,52,No,No,65,99,82,67,52.5,52,82.0,64.2,Medium Risk,-2.8,Stable
S1297,12,1.1,83,No,Yes,87,69,38,81,27.500000000000004,83,64.67,53.47,Medium Risk,-27.53,Declining
S1298,9,4.6,84,No,No,43,69,40,83,100.0,84,50.67,77.07,Low Risk,-5.93,Declining
S1299,9,1.9,69,No,No,41,85,56,75,47.5,69,60.67,57.07,Medium Risk,-17.93,Declining
S1300,11,2.1,62,No,Yes,43,90,49,49,52.5,62,60.67,57.67,Medium Risk,8.67,Improving
S1301,12,2.8,56,Yes,No,37,99,96,74,70.0,56,77.33,70.13,Low Risk,-3.87,Stable
S1302,10,5.2,99,Yes,Yes,93,68,48,85,100.0,99,69.67,87.67,Low Risk,2.67,Stable
S1303,9,2.6,79,Yes,No,53,48,76,61,65.0,79,59.0,65.4,Low Risk,4.4,Stable
S1304,9,4.7,96,No,Yes,41,50,35,48,100.0,96,42.0,76.0,Low Risk,28.0,Improving
S1305,9,4.9,55,No,No,46,74,52,80,100.0,55,57.33,73.93,Low Risk,-6.07,Declining
S1306,10,1.1,84,Yes,Yes,54,51,59,95,27.500000000000004,84,54.67,49.67,Medium Risk,-45.33,Declining
S1307,10,1.9,61,Yes,Yes,77,50,41,84,47.5,61,56.0,53.6,Medium Risk,-30.4,Declining
S1308,11,3.6,91,No,Yes,64,69,90,65,90.0,91,74.33,83.93,Low Risk,18.93,Improving
S1309,9,4.2,70,Yes,Yes,78,86,49,49,100.0,70,71.0,82.4,Low Risk,33.4,Improving
S1310,10,3.3,52,Yes,Yes,100,73,98,66,82.5,52,90.33,79.53,Low Risk,13.53,Improving
S1311,11,5.5,87,No,No,98,70,47,54,100.0,87,71.67,86.07,Low Risk,32.07,Improving
S1312,9,4.8,61,No,Yes,51,58,99,69,100.0,61,69.33,79.93,Low Risk,10.93,Improving
S1313,11,5.7,80,No,Yes,73,39,70,69,100.0,80,60.67,80.27,Low Risk,11.27,Improving
S1314,10,2.3,74,Yes,Yes,69,90,61,42,57.49999999999999,74,73.33,67.13,Low Risk,25.13,Improving
S1315,10,3.2,57,Yes,Yes,48,73,55,52,80.0,57,58.67,66.87,Low Risk,14.87,Improving
S1316,12,5.2,98,Yes,Yes,68,90,38,50,100.0,98,65.33,85.73,Low Risk,35.73,Improving
S1317,10,3.8,84,No,No,93,37,48,69,95.0,84,59.33,78.53,Low Risk,9.53,Improving
S1318,10,2.0,68,No,Yes,81,79,70,43,50.0,68,76.67,64.27,Medium Risk,21.27,Improving
S1319,9,2.1,55,Yes,No,95,71,84,67,52.5,55,83.33,65.33,Low Risk,-1.67,Stable
S1320,10,5.0,81,No,Yes,73,81,90,83,100.0,81,81.33,88.73,Low Risk,5.73,Improving
S1321,12,1.3,84,No,No,57,50,94,94,32.5,84,67.0,56.6,Medium Risk,-37.4,Declining
S1322,11,2.4,51,Yes,No,82,98,71,95,60.0,51,83.67,67.67,Low Risk,-27.33,Declining
S1323,9,2.5,78,No,Yes,39,86,68,91,62.5,78,64.33,66.33,Low Risk,-24.67,Declining
S1324,10,0.8,90,Yes,Yes,39,42,91,44,20.0,90,57.33,48.93,Medium Risk,4.93,Stable
S1325,10,5.3,96,No,Yes,88,60,62,44,100.0,96,70.0,87.2,Low Risk,43.2,Improving
S1326,9,5.1,68,Yes,No,65,57,37,84,100.0,68,53.0,74.8,Low Risk,-9.2,Declining
S1327,9,5.3,97,Yes,No,71,58,56,50,100.0,97,61.67,84.07,Low Risk,34.07,Improving
S1328,10,1.2,64,Yes,Yes,85,52,53,42,30.0,64,63.33,50.13,Medium Risk,8.13,Improving
S1329,10,0.6,91,Yes,Yes,70,96,92,80,15.0,91,86.0,58.6,Medium Risk,-21.4,Declining
S1330,10,2.5,100,Yes,No,37,43,38,49,62.5,100,39.33,60.73,Medium Risk,11.73,Improving
S1331,10,1.4,59,Yes,Yes,61,100,56,85,35.0,59,72.33,54.73,Medium Risk,-30.27,Declining
S1332,11,4.7,53,Yes,No,78,35,99,55,100.0,53,70.67,78.87,Low Risk,23.87,Improving
S1333,11,2.9,93,No,No,95,83,54,92,72.5,93,77.33,78.53,Low Risk,-13.47,Declining
S1334,10,3.6,78,Yes,Yes,37,91,55,65,90.0,78,61.0,76.0,Low Risk,11.0,Improving
S1335,12,2.8,58,No,No,66,69,84,59,70.0,58,73.0,68.8,Low Risk,9.8,Improving
S1336,11,2.4,81,No,No,92,69,96,69,60.0,81,85.67,74.47,Low Risk,5.47,Improving
S1337,11,4.6,58,Yes,Yes,95,39,57,83,100.0,58,63.67,77.07,Low Risk,-5.93,Declining
S1338,11,1.9,73,Yes,Yes,62,63,59,65,47.5,73,61.33,58.13,Medium Risk,-6.87,Declining
S1339,9,4.1,79,No,No,94,63,46,44,100.0,79,67.67,82.87,Low Risk,38.87,Improving
S1340,9,2.5,51,No,No,100,57,53,75,62.5,51,70.0,63.2,Medium Risk,-11.8,Declining
S1341,12,0.8,75,No,Yes,78,78,72,70,20.0,75,76.0,53.4,Medium Risk,-16.6,Declining
S1342,9,3.1,73,Yes,Yes,66,47,85,92,77.5,73,66.0,72.0,Low Risk,-20.0,Declining
S1343,11,2.4,62,No,No,46,83,89,88,60.0,62,72.67,65.47,Low Risk,-22.53,Declining
S1344,11,1.2,64,Yes,No,40,68,60,88,30.0,64,56.0,47.2,Medium Risk,-40.8,Declining
S1345,9,5.2,68,No,Yes,49,79,45,49,100.0,68,57.67,76.67,Low Risk,27.67,Improving
S1346,10,1.9,73,No,Yes,81,90,84,68,47.5,73,85.0,67.6,Low Risk,-0.4,Stable
S1347,11,4.7,64,No,No,76,58,84,70,100.0,64,72.67,81.87,Low Risk,11.87,Improving
S1348,12,3.2,93,Yes,Yes,63,94,93,58,80.0,93,83.33,83.93,Low Risk,25.93,Improving
S1349,10,1.1,89,No,No,72,74,53,57,27.500000000000004,89,66.33,55.33,Medium Risk,-1.67,Stable
S1350,11,4.0,88,No,No,57,89,85,56,100.0,88,77.0,88.4,Low Risk,32.4,Improving
S1351,10,5.8,65,No,Yes,55,54,61,71,100.0,65,56.67,75.67,Low Risk,4.67,Stable
S1352,10,3.2,97,No,No,36,97,76,84,80.0,97,69.67,79.27,Low Risk,-4.73,Stable
S1353,11,4.1,92,Yes,Yes,94,77,97,56,100.0,92,89.33,94.13,Low Risk,38.13,Improving
S1354,12,4.7,71,No,No,37,60,94,71,100.0,71,63.67,79.67,Low Risk,8.67,Improving
S1355,11,0.9,51,No,Yes,87,57,41,68,22.5,51,61.67,43.87,High Risk,-24.13,Declining
S1356,12,0.5,78,No,Yes,71,67,97,85,12.5,78,78.33,51.93,Medium Risk,-33.07,Declining
S1357,9,2.8,93,No,Yes,90,87,99,52,70.0,93,92.0,83.4,Low Risk,31.4,Improving
S1358,12,2.7,79,Yes,No,64,92,71,89,67.5,79,75.67,73.07,Low Risk,-15.93,Declining
S1359,11,4.3,95,Yes,Yes,86,94,79,50,100.0,95,86.33,93.53,Low Risk,43.53,Improving
S1360,9,2.9,56,No,Yes,75,67,37,76,72.5,56,59.67,64.07,Medium Risk,-11.93,Declining
S1361,9,3.4,80,Yes,No,36,65,76,63,85.0,80,59.0,73.6,Low Risk,10.6,Improving
S1362,9,3.7,89,Yes,Yes,65,86,76,55,92.5,89,75.67,85.07,Low Risk,30.07,Improving
S1363,10,1.9,55,Yes,No,39,97,41,91,47.5,55,59.0,53.6,Medium Risk,-37.4,Declining
S1364,10,1.5,70,Yes,No,79,42,56,67,37.5,70,59.0,52.6,Medium Risk,-14.4,Declining
S1365,12,0.9,100,No,Yes,91,99,46,43,22.5,100,78.67,60.47,Medium Risk,17.47,Improving
S1366,11,4.5,58,No,No,79,81,84,41,100.0,58,81.33,84.13,Low Risk,43.13,Improving
S1367,11,3.2,69,Yes,Yes,82,59,75,65,80.0,69,72.0,74.6,Low Risk,9.6,Improving
S1368,10,1.3,52,No,No,49,72,74,48,32.5,52,65.0,49.4,Medium Risk,1.4,Stable
S1369,11,3.6,85,No,Yes,98,59,78,56,90.0,85,78.33,84.33,Low Risk,28.33,Improving
S1370,11,5.3,72,No,No,72,66,74,58,100.0,72,70.67,82.67,Low Risk,24.67,Improving
S1371,9,1.4,52,No,Yes,61,70,44,94,35.0,52,58.33,47.73,Medium Risk,-46.27,Declining
S1372,10,5.8,53,No,No,72,39,39,87,100.0,53,50.0,70.6,Low Risk,-16.4,Declining
S1373,10,2.6,79,Yes,Yes,82,96,55,46,65.0,79,77.67,72.87,Low Risk,26.87,Improving
S1374,11,5.2,50,Yes,Yes,49,49,81,55,100.0,50,59.67,73.87,Low Risk,18.87,Improving
S1375,11,3.6,77,No,No,77,64,91,58,90.0,77,77.33,82.33,Low Risk,24.33,Improving
S1376,10,4.7,50,No,No,57,68,37,63,100.0,50,54.0,71.6,Low Risk,8.6,Improving
S1377,11,2.8,53,No,No,62,70,61,82,70.0,53,64.33,64.33,Medium Risk,-17.67,Declining
S1378,11,3.6,77,No,Yes,57,43,61,40,90.0,77,53.67,72.87,Low Risk,32.87,Improving
S1379,9,5.0,76,Yes,Yes,64,94,38,49,100.0,76,65.33,81.33,Low Risk,32.33,Improving
S1380,10,1.3,82,Yes,Yes,86,81,71,42,32.5,82,79.33,61.13,Medium Risk,19.13,Improving
S1381,9,4.8,81,Yes,Yes,38,51,63,73,100.0,81,50.67,76.47,Low Risk,3.47,Stable
S1382,9,1.6,82,Yes,No,72,100,47,50,40.0,82,73.0,61.6,Medium Risk,11.6,Improving
S1383,11,4.7,53,Yes,No,59,47,93,46,100.0,53,66.33,77.13,Low Risk,31.13,Improving
S1384,9,0.6,92,Yes,No,89,74,55,68,15.0,92,72.67,53.47,Medium Risk,-14.53,Declining
S1385,9,1.0,100,Yes,Yes,70,89,75,46,25.0,100,78.0,61.2,Medium Risk,15.2,Improving
S1386,10,4.6,74,Yes,Yes,38,56,48,48,100.0,74,47.33,73.73,Low Risk,25.73,Improving
S1387,12,4.1,93,No,Yes,84,88,49,79,100.0,93,73.67,88.07,Low Risk,9.07,Improving
S1388,9,4.4,98,No,No,93,36,56,82,100.0,98,61.67,84.27,Low Risk,2.27,Stable
S1389,9,5.5,53,No,No,81,90,54,76,100.0,53,75.0,80.6,Low Risk,4.6,Stable
S1390,11,5.5,79,No,No,100,64,35,43,100.0,79,66.33,82.33,Low Risk,39.33,Improving
S1391,10,1.7,73,No,Yes,65,95,57,46,42.5,73,72.33,60.53,Medium Risk,14.53,Improving
S1392,11,1.7,51,Yes,No,90,76,82,88,42.5,51,82.67,60.27,Medium Risk,-27.73,Declining
S1393,12,1.4,64,Yes,Yes,43,50,94,57,35.0,64,62.33,51.73,Medium Risk,-5.27,Declining
S1394,12,1.5,60,Yes,Yes,99,61,71,84,37.5,60,77.0,57.8,Medium Risk,-26.2,Declining
S1395,9,4.3,73,No,Yes,82,98,37,50,100.0,73,72.33,83.53,Low Risk,33.53,Improving
S1396,9,2.2,97,Yes,Yes,71,43,85,69,55.00000000000001,97,66.33,67.93,Low Risk,-1.07,Stable
S1397,12,5.2,75,No,No,60,37,82,60,100.0,75,59.67,78.87,Low Risk,18.87,Improving
S1398,10,4.7,96,Yes,Yes,43,74,90,40,100.0,96,69.0,86.8,Low Risk,46.8,Improving
S1399,10,3.1,62,No,Yes,48,35,42,54,77.5,62,41.67,60.07,Medium Risk,6.07,Improving
S1400,12,2.9,89,No,Yes,96,35,53,83,72.5,89,61.33,71.33,Low Risk,-11.67,Declining
S1401,9,1.1,93,Yes,No,93,80,85,61,27.500000000000004,93,86.0,64.0,Medium Risk,3.0,Stable
S1402,10,0.9,56,Yes,No,39,60,35,63,22.5,56,44.67,38.07,High Risk,-24.93,Declining
S1403,9,4.2,89,No,No,68,92,48,75,100.0,89,69.33,85.53,Low Risk,10.53,Improving
S1404,11,4.1,70,No,Yes,82,92,39,50,100.0,70,71.0,82.4,Low Risk,32.4,Improving
S1405,11,5.6,56,Yes,Yes,79,46,56,43,100.0,56,60.33,75.33,Low Risk,32.33,Improving
S1406,10,1.3,86,No,Yes,65,67,67,56,32.5,86,66.33,56.73,Medium Risk,0.73,Stable
S1407,10,2.9,73,Yes,Yes,68,48,60,78,72.5,73,58.67,67.07,Low Risk,-10.93,Declining
S1408,10,1.5,89,No,Yes,50,89,45,78,37.5,89,61.33,57.33,Medium Risk,-20.67,Declining
S1409,9,2.9,86,No,No,89,99,48,76,72.5,86,78.67,77.67,Low Risk,1.67,Stable
S1410,9,1.0,84,No,Yes,53,63,42,44,25.0,84,52.67,47.87,Medium Risk,3.87,Stable
S1411,11,5.7,51,Yes,Yes,78,93,72,50,100.0,51,81.0,82.6,Low Risk,32.6,Improving
S1412,9,6.0,75,Yes,No,51,44,61,87,100.0,75,52.0,75.8,Low Risk,-11.2,Declining
S1413,11,1.8,97,No,Yes,89,50,89,46,45.0,97,76.0,67.8,Low Risk,21.8,Improving
S1414,10,4.4,79,Yes,Yes,88,77,46,64,100.0,79,70.33,83.93,Low Risk,19.93,Improving
S1415,10,5.7,86,Yes,Yes,88,79,61,52,100.0,86,76.0,87.6,Low Risk,35.6,Improving
S1416,11,4.8,96,No,Yes,43,88,38,41,100.0,96,56.33,81.73,Low Risk,40.73,Improving
S1417,12,5.5,76,No,No,83,73,77,66,100.0,76,77.67,86.27,Low Risk,20.27,Improving
S1418,10,2.5,63,Yes,Yes,44,100,92,60,62.5,63,78.67,69.07,Low Risk,9.07,Improving
S1419,11,0.7,70,Yes,Yes,59,99,83,93,17.5,70,80.33,53.13,Medium Risk,-39.87,Declining
S1420,10,4.2,52,No,Yes,55,95,77,81,100.0,52,75.67,80.67,Low Risk,-0.33,Stable
S1421,10,2.0,85,Yes,Yes,56,76,80,64,50.0,85,70.67,65.27,Low Risk,1.27,Stable
S1422,11,4.9,90,No,Yes,72,72,56,70,100.0,90,66.67,84.67,Low Risk,14.67,Improving
S1423,10,3.7,77,No,Yes,35,41,55,63,92.5,77,43.67,69.87,Low Risk,6.87,Improving
S1424,11,0.6,69,No,Yes,47,69,86,53,15.0,69,67.33,46.73,Medium Risk,-6.27,Declining
S1425,10,4.1,91,Yes,Yes,71,35,52,43,100.0,91,52.67,79.27,Low Risk,36.27,Improving
S1426,10,5.4,53,Yes,No,70,70,67,48,100.0,53,69.0,78.2,Low Risk,30.2,Improving
S1427,12,1.1,90,Yes,No,74,100,36,86,27.500000000000004,90,70.0,57.0,Medium Risk,-29.0,Declining
S1428,12,1.0,100,No,Yes,56,100,97,91,25.0,100,84.33,63.73,Medium Risk,-27.27,Declining
S1429,10,2.7,50,No,Yes,41,94,80,40,67.5,50,71.67,65.67,Low Risk,25.67,Improving
S1430,9,5.1,85,Yes,No,45,43,97,83,100.0,85,61.67,81.67,Low Risk,-1.33,Stable
S1431,11,3.5,85,Yes,No,82,58,53,95,87.5,85,64.33,77.73,Low Risk,-17.27,Declining
S1432,9,5.7,57,No,No,95,37,51,67,100.0,57,61.0,75.8,Low Risk,8.8,Improving
S1433,11,3.8,70,No,No,79,36,78,73,95.0,70,64.33,77.73,Low Risk,4.73,Stable
S1434,11,1.8,72,Yes,No,44,75,78,79,45.0,72,65.67,58.67,Medium Risk,-20.33,Declining
S1435,9,5.7,85,No,No,71,56,80,66,100.0,85,69.0,84.6,Low Risk,18.6,Improving
S1436,10,1.6,73,Yes,Yes,47,41,95,95,40.0,73,61.0,55.0,Medium Risk,-40.0,Declining
S1437,11,2.1,81,Yes,Yes,66,96,49,85,52.5,81,70.33,65.33,Low Risk,-19.67,Declining
S1438,9,2.1,95,Yes,No,59,88,45,70,52.5,95,64.0,65.6,Low Risk,-4.4,Stable
S1439,9,2.8,95,No,No,38,83,44,51,70.0,95,55.0,69.0,Low Risk,18.0,Improving
S1440,11,4.1,79,Yes,Yes,85,43,92,85,100.0,79,73.33,85.13,Low Risk,0.13,Stable
S1441,12,2.9,75,No,Yes,66,61,43,57,72.5,75,56.67,66.67,Low Risk,9.67,Improving
S1442,12,1.4,100,Yes,No,75,53,51,91,35.0,100,59.67,57.87,Medium Risk,-33.13,Declining
S1443,9,2.0,62,No,Yes,73,40,64,84,50.0,62,59.0,56.0,Medium Risk,-28.0,Declining
S1444,11,3.0,82,No,Yes,56,91,90,93,75.0,82,79.0,78.0,Low Risk,-15.0,Declining
S1445,10,3.8,53,Yes,Yes,48,83,74,74,95.0,53,68.33,75.93,Low Risk,1.93,Stable
S1446,10,1.4,80,Yes,Yes,42,45,35,86,35.0,80,40.67,46.27,Medium Risk,-39.73,Declining
S1447,12,1.1,77,Yes,Yes,89,70,79,60,27.500000000000004,77,79.33,58.13,Medium Risk,-1.87,Stable
S1448,12,3.2,61,No,No,86,43,35,94,80.0,61,54.67,66.07,Low Risk,-27.93,Declining
